Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Net Carbs (g),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
Thai Coconut Chicken Red Curry,1.00 full recipe,4558.33,0,0,390.04,2377.82,2179.95,2.48,5.32,115.13,18.48,8.37,18.79,541.94,2338.55,208.46,115.27,12.58,284.59,705.37,4.3,46.11,1125.71,13.55,4354.71,8299.02,412.52,3277.88,52.26,370.19,407.33,35.18,22.21,3.09,286.71,49.09,15.87,157.76,1508.88,59.64,33.17,51.95,1.1,1.5,1.15,0.07,0.14,30.28,1.03,28.14,3.86,9.95,11.33,26.02,28.58,9.32,12.96,376.92,13.7,4.02,11.32,12.99,
Spanish Chickpeas and Rice,1.00 full recipe,1939.8,0,0,182.55,1909.06,1133.44,1.11,0.8,17.98,4.53,1.49,0,658.6,564.96,103.48,0,12.65,108,452.73,2.25,12.44,535.77,9.97,1309.37,3482.96,42.99,3891.43,8.45,262.07,331.19,67.67,43.58,16.9,192.93,41.24,1.82,47.81,0,24.23,9.91,6.4,0.05,0.62,0.62,0,0,8.03,0,8.03,0.61,1.72,2.72,4.62,3.79,0.77,3.39,62.68,2.65,0.5,1.84,3.21,
Southwest Lentils and Rice Skillet,1.00 full recipe,2148.11,0,0,362.21,2187.91,1045.19,2.16,1.3,16.44,5.36,1.43,1.34,945.23,521.83,29.23,29.28,5.29,89.19,1306.36,1.8,21.01,546.71,7.26,1981.57,4362.93,73.21,6416.89,14.06,241.23,307.39,65.53,52.64,4.42,200.28,27.75,2.43,65.11,120.78,23.21,8.1,26.77,1.4,1.16,1.1,0,0.01,5.55,0,4.72,0.79,2.26,4.25,7.56,4.85,1.6,4.63,93.78,3.5,1.38,3.08,5.33,
Lentil Loaf,1.00 full recipe,1921.96,0.01,0,219.35,2377.49,1118.78,2.38,3.18,32.84,12.19,2.67,0.28,1449.35,1099.09,49.43,3.99,6.56,167.21,459.53,4.81,28.21,559.97,7.32,2149.13,5761.44,129.61,7133.7,14.48,187.31,253.92,62.2,47.67,6.31,105.38,70.39,44.34,73.78,0,18.73,41.81,7.61,0.04,12.85,12.82,0,0,28.8,0,28.67,1.23,2.36,3.68,6.11,5.22,0.97,4.15,92.43,3.43,0.93,2.34,4.86,
Chicken and Rice Casserole,1.00 full recipe,3092.26,0,0,281.35,2111.14,1777.17,1.64,2.31,39.14,8.46,2.5,4.35,389.31,2792.52,224.88,159.75,12.15,289.95,2224.57,1.38,8.66,561.64,9.06,2746.02,3274.39,156.64,5819.82,18.48,276.45,302.33,24.65,20.58,4.08,219.98,34.25,0,151.68,471.44,46.69,11.79,75.29,4.45,1,0.85,0.05,0.04,8.38,0.12,8.24,1.43,3.63,6.77,10.92,8.1,3.29,6.2,136.03,5.99,2.27,5.47,7.64,
Marry Me Chicken Pasta,1.00 full recipe,2797.45,0,0,174.42,83.59,1039.28,0.66,1.44,64.28,6.74,3.77,2.35,129.62,699.19,86.57,111.51,9.61,145.29,1168.52,0.93,31.9,279.77,1.44,1748.98,3374.07,144.62,4672.09,9.72,139.57,183.3,42.49,8.9,1.4,3.81,49.12,0,133.78,586.64,47.47,12.53,46.01,2.59,1.18,0.85,0.15,0.06,9.63,0.41,9.21,2.21,5.69,9.46,13.91,15.23,4.87,7.49,240.1,7.51,2.2,6.54,9.34,
Southwest Chicken Skillet,1.00 full recipe,2981.61,0,0,359.29,2265.96,1358.17,2.23,1.9,83.1,9.91,4.98,3.55,784.42,611.2,36.74,54.98,10.08,246.62,2382.79,2.15,23.58,736.57,8.18,3525.85,5079.63,206.4,6452.47,20.07,235.32,300.09,63.21,54.88,5.55,198.8,28.71,0,75.24,546.43,23.77,11.81,32.97,1.77,1.87,1.55,0.16,0.05,8.07,0.43,7.64,3.03,8.4,13.79,21.68,21.62,6.72,12.2,270.68,10.72,3.28,9.91,14.85,
Slow Cooker Salsa Verde Chicken Chickpea Chili,1.00 full recipe,2986.53,0,0,288.33,2011.99,2342.47,1.61,4.3,81.48,14.25,6.52,15.57,574.68,220.78,62.93,90.72,13.89,60.42,709.31,3.76,30.01,736.56,6.92,3292.98,6292.65,313.85,7016.14,40.62,196.55,251.82,53.89,41.01,7.74,128.39,61.5,0.78,79.5,1161.2,25.04,24.35,19.56,0.82,1.44,1.15,0.09,0.11,20.99,0.79,19.33,3.33,8.7,10.11,22.26,25.17,7.78,11.31,323.49,11.68,3.41,9.28,11.08,
Korean Braised Tofu (Dubu Jorim),1.00 full recipe,2042.51,0,0,360.45,2583.68,1579.74,1.91,2.13,21.7,9.84,3.07,0,946.32,386.51,1089.3,0,22.39,1313.82,1907.32,2.62,23.87,759.39,12.19,2241.94,5701.87,120.09,4075.44,14.48,208.77,256.06,46.23,36.56,7.73,138.33,32.55,6.24,80.3,0,34.73,23.75,12.79,0,2.14,2.14,0,0,20.69,0,20.69,0.79,2.58,4.5,7.57,5.26,1.54,5.07,109.9,4.3,1.41,3.55,5.38,
Korean Inspired Ground Turkey Bowls,1.00 full recipe,2632.36,0,0,251.81,2695.88,1159.04,1.83,1.62,57.88,9.88,3.98,4.54,316.17,1457.08,50.28,63.5,5.63,250.56,342.62,1.87,13.21,654.93,11.6,2338.91,3550.23,158.06,5012.93,19.63,377.73,403.18,23.88,19.74,4.01,273.11,90.16,66.2,57.63,312.98,19.74,18.19,13.07,0.47,0.77,0.66,0.04,0.03,16.31,0.04,16.18,1.47,3.61,5.72,10.47,9.66,3.39,5.4,128.91,5.82,1.45,4.45,6.36,
